CPU: 6.7% | switches: 227060155
CPU: 0.6% | switches: 227066845
CPU: 0.2% | switches: 227070668
CPU: 1.0% | switches: 227074588
CPU: 1.6% | switches: 227088299
CPU: 1.2% | switches: 227093205
CPU: 0.6% | switches: 227097106
CPU: 3.1% | switches: 227109087
CPU: 0.8% | switches: 227113409
CPU: 2.7% | switches: 227121584
CPU: 4.4% | switches: 227138854
CPU: 3.1% | switches: 227150579
CPU: 5.1% | switches: 227161904
CPU: 20.6% | switches: 231312960
CPU: 3.9% | switches: 231320749
CPU: 1.6% | switches: 231324917
CPU: 6.9% | switches: 231332191
CPU: 7.6% | switches: 231346398
CPU: 3.5% | switches: 231356349
CPU: 1.4% | switches: 231360074
CPU: 7.3% | switches: 231375122
CPU: 2.3% | switches: 231381506
CPU: 9.3% | switches: 231864454
CPU: 7.2% | switches: 231876606
CPU: 1.2% | switches: 231881906
CPU: 0.8% | switches: 231887138
CPU: 4.7% | switches: 231899837
CPU: 4.9% | switches: 231911865
CPU: 0.6% | switches: 231918804
2026-04-06 10:36:03 CPU: 3.1% | Net: 198.51 MB | Switches:273.25M Calls:1029.1
2026-04-07 22:47:35 CPU: 3.7% | Net: 48.75 MB | Switches:73.6M Calls:270.26
2026-04-07 22:47:37 CPU: 20.9% | Net: 48.76 MB | Switches:73.62M Calls:270.31
2026-04-07 22:47:39 CPU: 4.1% | Net: 48.76 MB | Switches:73.63M Calls:270.35
2026-04-07 22:47:40 CPU: 1.9% | Net: 48.76 MB | Switches:73.63M Calls:270.36
2026-04-07 22:47:42 CPU: 3.1% | Net: 48.76 MB | Switches:73.64M Calls:270.39
2026-04-07 22:49:20 CPU: 3.3% | Net: 48.91 MB | Switches:74.1M Calls:275.05
2026-04-07 22:49:22 CPU: 10.4% | Net: 48.92 MB | Switches:74.11M Calls:275.12
2026-04-07 22:49:23 CPU: 3.5% | Net: 48.92 MB | Switches:74.12M Calls:275.14
2026-04-07 22:49:25 CPU: 0.6% | Net: 48.92 MB | Switches:74.12M Calls:275.15
2026-04-07 22:49:26 CPU: 8.2% | Net: 48.92 MB | Switches:74.13M Calls:275.22
2026-04-07 22:49:28 CPU: 0.6% | Net: 48.92 MB | Switches:74.13M Calls:275.23
2026-04-07 22:49:29 CPU: 0.2% | Net: 48.92 MB | Switches:74.14M Calls:275.25
2026-04-07 22:49:31 CPU: 4.2% | Net: 48.93 MB | Switches:74.15M Calls:275.3
2026-04-07 22:49:32 CPU: 0.8% | Net: 48.93 MB | Switches:74.15M Calls:275.33
2026-04-07 22:49:34 CPU: 0.4% | Net: 48.93 MB | Switches:74.15M Calls:275.34
2026-04-07 22:49:35 CPU: 0.6% | Net: 48.93 MB | Switches:74.16M Calls:275.35
2026-04-07 22:49:37 CPU: 5.1% | Net: 48.93 MB | Switches:74.17M Calls:275.42
2026-04-07 22:49:39 CPU: 11.1% | Net: 48.93 MB | Switches:74.17M Calls:275.43
2026-04-07 22:49:40 CPU: 0.6% | Net: 48.93 MB | Switches:74.18M Calls:275.45
2026-04-07 22:49:42 CPU: 7.3% | Net: 48.93 MB | Switches:74.19M Calls:275.51
2026-04-07 22:49:43 CPU: 1.0% | Net: 48.93 MB | Switches:74.19M Calls:275.53
2026-04-07 22:49:45 CPU: 0.2% | Net: 48.93 MB | Switches:74.19M Calls:275.54
2026-04-07 22:49:46 CPU: 4.5% | Net: 48.93 MB | Switches:74.2M Calls:275.59
2026-04-07 22:49:48 CPU: 4.1% | Net: 48.93 MB | Switches:74.21M Calls:275.63
2026-04-07 22:49:49 CPU: 1.4% | Net: 48.93 MB | Switches:74.22M Calls:275.64
2026-04-07 22:49:51 CPU: 1.0% | Net: 48.93 MB | Switches:74.22M Calls:275.66
2026-04-07 22:49:53 CPU: 5.9% | Net: 48.93 MB | Switches:74.23M Calls:275.72
2026-04-07 22:49:54 CPU: 0.6% | Net: 48.94 MB | Switches:74.23M Calls:275.74
2026-04-07 22:49:56 CPU: 1.8% | Net: 48.94 MB | Switches:74.24M Calls:275.76
2026-04-07 22:49:57 CPU: 5.3% | Net: 48.94 MB | Switches:74.25M Calls:275.81
2026-04-07 22:49:59 CPU: 0.2% | Net: 48.94 MB | Switches:74.25M Calls:275.83
2026-04-07 22:50:00 CPU: 2.3% | Net: 48.94 MB | Switches:74.26M Calls:275.86
2026-04-07 22:50:02 CPU: 1.9% | Net: 48.94 MB | Switches:74.26M Calls:275.87
2026-04-07 22:50:03 CPU: 3.5% | Net: 48.94 MB | Switches:74.27M Calls:275.93
2026-04-07 22:50:05 CPU: 0.4% | Net: 48.94 MB | Switches:74.27M Calls:275.95
2026-04-07 22:50:06 CPU: 1.0% | Net: 48.94 MB | Switches:74.28M Calls:275.96
2026-04-07 22:50:08 CPU: 9.2% | Net: 48.94 MB | Switches:74.29M Calls:276.03
2026-04-07 22:50:10 CPU: 0.4% | Net: 48.94 MB | Switches:74.29M Calls:276.04
2026-04-07 22:50:11 CPU: 0.6% | Net: 48.94 MB | Switches:74.3M Calls:276.06
2026-04-07 22:50:13 CPU: 14.2% | Net: 48.94 MB | Switches:74.31M Calls:276.12
2026-04-07 22:50:14 CPU: 0.6% | Net: 48.94 MB | Switches:74.32M Calls:276.16
2026-04-07 23:00:26 CPU: 5.7% | Net: 51.8 MB | Switches:78.43M Calls:286.06
2026-04-07 23:00:28 CPU: 9.8% | Net: 51.81 MB | Switches:78.44M Calls:286.13
2026-04-07 23:00:29 CPU: 1.2% | Net: 51.81 MB | Switches:78.45M Calls:286.15
2026-04-07 23:00:31 CPU: 0.8% | Net: 51.82 MB | Switches:78.45M Calls:286.17
2026-04-07 23:00:33 CPU: 10.4% | Net: 51.82 MB | Switches:78.47M Calls:286.21
2026-04-07 23:00:34 CPU: 22.0% | Net: 51.82 MB | Switches:78.49M Calls:286.29
2026-04-07 23:00:36 CPU: 10.8% | Net: 51.9 MB | Switches:78.51M Calls:286.33
2026-04-07 23:00:37 CPU: 17.2% | Net: 51.91 MB | Switches:78.53M Calls:286.41
2026-04-07 23:00:39 CPU: 15.7% | Net: 51.91 MB | Switches:78.55M Calls:286.5
